27.84,27.911
84.23,80.61
55.717,56.786
22.366,22.924
43.635,43.859
235.746,230.822
128.994,130.55
117.477,117.573
94.146,91.569
202.991,203.881
114.822,114.748
234.53,230.539
52.315,52.91
25.78,25.738
115.324,114.816
25.618,26.152
32.371,32.421
39.152,38.488
144.737,146.099
188.906,190.403
243.109,237.237
7.515,7.446
74.054,70.201
67.332,66.406
53.787,55.018
210.589,210.053
31.946,31.48
43.53,43.717
24.846,24.911
54.574,56.07
45.815,45.755
95.673,92.015
52.456,53.647
71.467,68.912
14.922,14.52
89.494,86.299
145.354,145.905
35.713,35.704
170.04,172.383
44.703,43.894
63.916,64.356
141.362,142.159
7.771,8.048
89.13,85.847
41.188,40.967
26.558,27.025
156.47,158.174
53.286,54.44
89.845,86.38
35.02,33.966
